D_HDN	D_MFI	VPCT	VPPD_Nor	VPPD_Cen	VPPD_Sur	VPPD_Tot	CMg_Nor	CMg_Cen	CMg_Sur	Capital	Dem_Tot	Ccapital	
46	12	3986	32196.7	5984	1090	39271.7	1576	139.667	49	74	12205	100	
67.0897	5	576.333	408.333	750	256.346	1445.67	39	21	25	74	8118	100	
369	22	1295	12277	7702.67	500	20480	947.667	131	36	74	12205	100	
13	0	232	200	433.667	151	784.667	38	17.6667	21	74	5269	100	
46	4	316.667	366	671.667	257	1294	35	19	22.6667	74	8118	100	
187	23	17467.7	33409	7972.67	80594	121976	1635	186	3628.33	74	12205	100	
397	36	2846.67	23733.7	36085.7	7478.67	67298	1832	615	537.667	74	12205	100	
46.9586	3	322.576	366.955	673.439	256.459	1297.48	35.1364	19.0682	22.7576	74	8118	100	
47	15	9222.27	32668	6476.33	31969	71393.3	1599.22	151	1439.08	74	12205	100	
379	24	1897.76	16726.8	18726.7	3210.56	38663.7	1291.03	319.593	230.945	74	12205	100	
88.6934	13.2398	4477.9	10470.7	3110.11	18352.2	34006.9	545.631	72.0798	844.234	74	10868	100	
112.125	12.5819	1940.49	9981.75	3413.18	3230.56	22902.9	573.275	73.3672	180.674	74	11041	100	
263.065	18.6134	1570.99	12240.5	9172.53	1873.29	26328.4	868.435	162.5	133.596	74	11670	100	
278.36	19.8198	1360.88	10405.9	12265.2	2457.95	25893.1	786.851	213.805	178.307	74	11270	100	
207.243	17.3212	1924.11	13363.5	6936.29	1926.39	29063.8	877.958	128.131	132.78	74	11740	100	
124.258	8.68466	668.082	4109.81	5962.42	1256.62	11328.9	331.897	109.752	97.8804	74	8690	100	
50.6009	5.58496	1506.6	5002.99	1523.48	4289.53	11243.2	262.955	38.0151	204.661	74	9340	100	
98.5066	12.2127	3899.29	8659.49	3201.81	16284.3	29311.2	460.05	71.428	751.413	74	10380	100	
58.8873	6.99501	1928.43	6444.17	1871.71	5864.7	15305.3	338.809	45.1495	278.595	74	9790	100	
62.0835	5.56187	948.167	3870.75	1456.13	1731.75	8390.91	216.522	35.2916	94.7528	74	9180	100	
77.6524	4.97278	420.187	1468.69	1853.5	443.335	3765.01	120.152	38.755	36.0179	74	8640	100	
